Time Step,Queue 0 PRBs,Queue 1 PRBs,Queue 2 PRBs
1226,-52,16,16
1227,-52,16,16
1228,-53,16,16
1229,-53,16,16
1230,-54,16,16
1231,-55,16,16
1232,-56,16,16
1233,-57,16,16
1234,-58,16,16
1235,-59,16,16
1236,-59,16,16
1237,-60,16,16
1238,-61,16,16
1239,-62,16,16
1240,-62,16,16
1241,-63,16,16
1242,-63,16,16
1243,-65,16,16
1244,-65,16,16
1245,-67,16,16
1246,-68,16,16
1247,-69,16,16
1248,-70,16,16
1249,-71,16,16
1250,-72,16,16
1251,-73,16,16
1252,-74,16,16
1253,-76,16,16
1254,-77,16,16
1255,-78,16,16
1256,-79,16,16
1257,-80,16,16
1258,-82,16,16
1259,-84,16,16
1260,-86,16,16
1261,-87,16,16
1262,-89,16,16
1263,-91,16,16
1264,-92,16,16
1265,-94,16,16
1266,-96,16,16
1267,-98,16,16
1268,-100,16,16
1269,-101,16,16
1270,-103,16,16
1271,-105,16,16
1272,-108,16,16
1273,-110,16,16
1274,-112,16,16
1275,-115,16,16
1276,-118,16,16
1277,-120,16,16
1278,-122,16,16
1279,-124,16,16
1280,-128,16,16
1281,-129,16,16
1282,-133,16,16
1283,-136,16,16
1284,-140,16,16
1285,-144,16,16
1286,-148,16,16
1287,-152,16,16
1288,-157,16,16
1289,-161,16,16
1290,-165,16,16
1291,-172,16,16
1292,-179,16,16
1293,-184,16,16
1294,-190,16,16
1295,-196,16,16
1296,-203,16,16
1297,-213,16,16
1298,-220,16,16
1299,-228,16,16
1300,-237,16,16
1301,-250,16,16
1302,-260,16,16
1303,-273,16,16
1304,-287,16,16
1305,-305,16,16
1306,-322,16,16
1307,-333,16,16
1308,-353,16,16
1309,-376,16,16
1310,-398,16,16
1311,-430,16,16
1312,-457,16,16
1313,-489,16,16
1314,-535,16,16
1315,-576,16,16
1316,-626,16,16
1317,-681,16,16
1318,-740,16,16
1319,-823,16,16
1320,-934,16,16
1321,-1082,16,16
1322,-1240,16,16
1323,-1610,16,16
1324,-2221,16,16
1325,-3430,16,16
1326,-9034,16,16
1327,27732,16,16
1328,16,16,16
